common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered,Both Domestic and Foreign,Alaska,AK,United States
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered,Both Domestic and Foreign,Hawaii,HI,United States
Showy Indian clover,Trifolium amoenum,Flowering Plants,Endangered,Domestic,California,CA,United States
Sierra Nevada bighorn sheep,Ovis canadensis sierrae,Mammals,Endangered,Domestic,California,CA,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,North Carolina,NC,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,Alabama,AL,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,Mississippi,MS,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,Kentucky,KY,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,Virginia,VA,United States
Slabside Pearlymussel,Pleuronaia dolabelloides,Clams,Endangered,Domestic,Tennessee,TN,United States
Slender chub,Erimystax cahni,Fishes,Threatened,Domestic,Tennessee,TN,United States
Slender chub,Erimystax cahni,Fishes,Threatened,Domestic,Virginia,VA,United States
Sneed pincushion cactus,Coryphantha sneedii var. sneedii,Flowering Plants,Endangered,Domestic,New Mexico,NM,United States
Sneed pincushion cactus,Coryphantha sneedii var. sneedii,Flowering Plants,Endangered,Domestic,Texas,TX,United States
Song Sparrow,Melospiza melodia maxillaris,Birds,Species of Concern,Domestic,California,CA,United States
Song Sparrow,Melospiza melodia pusillula,Birds,Species of Concern,Domestic,California,CA,United States
Song Sparrow,Melospiza melodia samuelis,Birds,Species of Concern,Domestic,California,CA,United States
Sonora chub,Gila ditaenia,Fishes,Threatened,Both Domestic and Foreign,Arizona,AZ,United States
Sonoran pronghorn,Antilocapra americana sonoriensis,Mammals,Endangered,Both Domestic and Foreign,Arizona,AZ,United States
Southeastern American kestrel,Falco sparverius paulus,Birds,Species of Concern,Domestic,Florida,FL,United States
Southeastern beach mouse,Peromyscus polionotus niveiventris,Mammals,Threatened,Domestic,Florida,FL,United States
Southern clubshell,Pleurobema decisum,Clams,Endangered,Domestic,Mississippi,MS,United States
Southern clubshell,Pleurobema decisum,Clams,Endangered,Domestic,Georgia,GA,United States
Southern clubshell,Pleurobema decisum,Clams,Endangered,Domestic,Alabama,AL,United States
Southern clubshell,Pleurobema decisum,Clams,Endangered,Domestic,Tennessee,TN,United States
Southern combshell,Epioblasma penita,Clams,Endangered,Domestic,Alabama,AL,United States
Southern combshell,Epioblasma penita,Clams,Endangered,Domestic,Mississippi,MS,United States
Southern mountain wild-buckwheat,Eriogonum kennedyi var. austromontanum,Flowering Plants,Threatened,Domestic,California,CA,United States
Southern pigtoe,Pleurobema georgianum,Clams,Endangered,Domestic,Georgia,GA,United States
Southern pigtoe,Pleurobema georgianum,Clams,Endangered,Domestic,Alabama,AL,United States
Southern pigtoe,Pleurobema georgianum,Clams,Endangered,Domestic,Tennessee,TN,United States
Southern sandshell,Hamiota australis,Clams,Threatened,Domestic,Florida,FL,United States
Southern sandshell,Hamiota australis,Clams,Threatened,Domestic,Alabama,AL,United States
Southern sea otter,Enhydra lutris nereis,Mammals,Threatened,Both Domestic and Foreign,California,CA,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,California,CA,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,Utah,UT,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,Nevada,NV,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,New Mexico,NM,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,Texas,TX,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,Arizona,AZ,United States
Southwestern willow flycatcher,Empidonax traillii extimus,Birds,Endangered,Both Domestic and Foreign,Colorado,CO,United States
Spectacled eider,Somateria fischeri,Birds,Threatened,Both Domestic and Foreign,Alaska,AK,United States
Spotted Towhee,Pipilo maculatus clementae,Birds,Species of Concern,Domestic,California,CA,United States
Spreading avens,Geum radiatum,Flowering Plants,Endangered,Domestic,North Carolina,NC,United States
Spreading avens,Geum radiatum,Flowering Plants,Endangered,Domestic,Tennessee,TN,United States
Spreading navarretia,Navarretia fossalis,Flowering Plants,Threatened,Both Domestic and Foreign,California,CA,United States
Spring-loving centaury,Centaurium namophilum,Flowering Plants,Threatened,Domestic,Nevada,NV,United States
St. Croix ground lizard,Ameiva polops,Reptiles,Endangered,Domestic,Virgin Islands,VI,United States
Steller's Eider,Polysticta stelleri,Birds,Threatened,Domestic,Alaska,AK,United States
Stephens' kangaroo rat,Dipodomys stephensi (incl. D. cascus),Mammals,Endangered,Domestic,California,CA,United States
St. Francis River Crayfish,Faxonius quadruncus,Crustaceans,Threatened,Domestic,Missouri,MO,United States
Streaked Horned lark,Eremophila alpestris strigata,Birds,Threatened,Domestic,Washington,WA,United States
Streaked Horned lark,Eremophila alpestris strigata,Birds,Threatened,Domestic,Oregon,OR,United States
Suwannee moccasinshell,Medionidus walkeri,Clams,Threatened,Domestic,Georgia,GA,United States
Suwannee moccasinshell,Medionidus walkeri,Clams,Threatened,Domestic,Florida,FL,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,Maryland,MD,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,New Jersey,NJ,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,Virginia,VA,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,Georgia,GA,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,North Carolina,NC,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,Delaware,DE,United States
Swamp pink,Helonias bullata,Flowering Plants,Threatened,Domestic,South Carolina,SC,United States
Tan riffleshell,Epioblasma florentina walkeri (=E. walkeri),Clams,Endangered,Domestic,West Virginia,WV,United States
Tan riffleshell,Epioblasma florentina walkeri (=E. walkeri),Clams,Endangered,Domestic,Kentucky,KY,United States
Tan riffleshell,Epioblasma florentina walkeri (=E. walkeri),Clams,Endangered,Domestic,Virginia,VA,United States
Tan riffleshell,Epioblasma florentina walkeri (=E. walkeri),Clams,Endangered,Domestic,Tennessee,TN,United States
Tar River spinymussel,Elliptio steinstansana,Clams,Endangered,Domestic,North Carolina,NC,United States
Taylor's (=whulge) Checkerspot,Euphydryas editha taylori,Insects,Endangered,Domestic,Washington,WA,United States
Taylor's (=whulge) Checkerspot,Euphydryas editha taylori,Insects,Endangered,Domestic,Oregon,OR,United States
Telephus spurge,Euphorbia telephioides,Flowering Plants,Threatened,Domestic,Florida,FL,United States
Texas blind salamander,Typhlomolge rathbuni,Amphibians,Endangered,Domestic,Texas,TX,United States
Texas wild-rice,Zizania texana,Flowering Plants,Endangered,Domestic,Texas,TX,United States
Thread-leaved brodiaea,Brodiaea filifolia,Flowering Plants,Threatened,Domestic,California,CA,United States
Three Forks Springsnail,Pyrgulopsis trivialis,Snails,Endangered,Domestic,Arizona,AZ,United States
Tobusch fishhook cactus,Sclerocactus brevihamatus ssp. tobuschii,Flowering Plants,Threatened,Domestic,Texas,TX,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,Iowa,IA,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,South Dakota,SD,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,Nebraska,NE,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,Missouri,MO,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,Kansas,KS,United States
Topeka shiner,Notropis topeka (=tristis),Fishes,Endangered,Domestic,Minnesota,MN,United States
Unarmored threespine stickleback,Gasterosteus aculeatus williamsoni,Fishes,Endangered,Domestic,California,CA,United States
Uvillo,Eugenia haematocarpa,Flowering Plants,Endangered,Domestic,Puerto Rico,PR,United States
Vahl's boxwood,Buxus vahlii,Flowering Plants,Endangered,Domestic,Puerto Rico,PR,United States
Vahl's boxwood,Buxus vahlii,Flowering Plants,Endangered,Domestic,Virgin Islands,VI,United States
Valley elderberry longhorn beetle,Desmocerus californicus dimorphus,Insects,Threatened,Domestic,California,CA,United States
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered,Domestic,North Carolina,NC,United States
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered,Domestic,Virginia,VA,United States
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered,Domestic,West Virginia,WV,United States
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered,Domestic,Tennessee,TN,United States
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered,Domestic,Kentucky,KY,United States
Virginia round-leaf birch,Betula uber,Flowering Plants,Threatened,Domestic,Virginia,VA,United States
Virgin Islands tree boa,Chilabothrus granti,Reptiles,Endangered,Both Domestic and Foreign,Puerto Rico,PR,United States
Virgin Islands tree boa,Chilabothrus granti,Reptiles,Endangered,Both Domestic and Foreign,Virgin Islands,VI,United States
Western burrowing owl,Athene cunicularia ssp. hypugaea,Birds,Species of Concern,Both Domestic and Foreign,Colorado,CO,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Kansas,KS,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Missouri,MO,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Minnesota,MN,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,North Dakota,ND,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Colorado,CO,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Wyoming,WY,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Iowa,IA,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,Nebraska,NE,United States
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,South Dakota,SD,United States
Western snowy plover,Charadrius nivosus nivosus,Birds,Threatened,Both Domestic and Foreign,California,CA,United States
Western snowy plover,Charadrius nivosus nivosus,Birds,Threatened,Both Domestic and Foreign,Washington,WA,United States
Western snowy plover,Charadrius nivosus nivosus,Birds,Threatened,Both Domestic and Foreign,Oregon,OR,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Virginia,VA,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Florida,FL,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,North Carolina,NC,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Louisiana,LA,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Alabama,AL,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Georgia,GA,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Mississippi,MS,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,South Carolina,SC,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,New Jersey,NJ,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Puerto Rico,PR,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Texas,TX,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Delaware,DE,United States
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,Maryland,MD,United States
West Indian whistling duck,Dendrocygna arborea,Birds,Species of Concern,Domestic,Puerto Rico,PR,United States
West Indian whistling duck,Dendrocygna arborea,Birds,Species of Concern,Domestic,Virgin Islands,VI,United States
White catspaw (pearlymussel),Epioblasma obliquata perobliqua,Clams,Endangered,Domestic,Ohio,OH,United States
White catspaw (pearlymussel),Epioblasma obliquata perobliqua,Clams,Endangered,Domestic,Indiana,IN,United States
White-crowned pigeon,Patagioenas leucocephala,Birds,Species of Concern,Domestic,Florida,FL,United States
White-faced ibis,Plegadis chihi,Birds,Species of Concern,Both Domestic and Foreign,Colorado,CO,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,Mississippi,MS,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,Tennessee,TN,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,Georgia,GA,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,Alabama,AL,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,South Carolina,SC,United States
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,Kentucky,KY,United States
White sturgeon,Acipenser transmontanus,Fishes,Endangered,Both Domestic and Foreign,Idaho,ID,United States
White sturgeon,Acipenser transmontanus,Fishes,Endangered,Both Domestic and Foreign,Montana,MT,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Kansas,KS,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Wisconsin,WI,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Texas,TX,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Oklahoma,OK,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,North Dakota,ND,United States
