"common_name","esa_status","species_group","state"
"Southwestern willow flycatcher","Endangered","Birds","Utah"
"Southwestern willow flycatcher","Endangered","Birds","Nevada"
"Southwestern willow flycatcher","Endangered","Birds","New Mexico"
"Southwestern willow flycatcher","Endangered","Birds","Texas"
"Southwestern willow flycatcher","Endangered","Birds","Arizona"
"Southwestern willow flycatcher","Endangered","Birds","Colorado"
"Spectacled eider","Threatened","Birds","Alaska"
"Spotted Towhee","Species of Concern","Birds","California"
"Spreading avens","Endangered","Flowering Plants","North Carolina"
"Spreading avens","Endangered","Flowering Plants","Tennessee"
"Spreading navarretia","Threatened","Flowering Plants","California"
"Spring-loving centaury","Threatened","Flowering Plants","Nevada"
"St. Croix ground lizard","Endangered","Reptiles","Virgin Islands"
"Steller's Eider","Threatened","Birds","Alaska"
"Stephens' kangaroo rat","Endangered","Mammals","California"
"St. Francis River Crayfish","Threatened","Crustaceans","Missouri"
"Streaked Horned lark","Threatened","Birds","Washington"
"Streaked Horned lark","Threatened","Birds","Oregon"
"Suwannee moccasinshell","Threatened","Clams","Georgia"
"Suwannee moccasinshell","Threatened","Clams","Florida"
"Swamp pink","Threatened","Flowering Plants","Maryland"
"Swamp pink","Threatened","Flowering Plants","New Jersey"
"Swamp pink","Threatened","Flowering Plants","Virginia"
"Swamp pink","Threatened","Flowering Plants","Georgia"
"Swamp pink","Threatened","Flowering Plants","North Carolina"
"Swamp pink","Threatened","Flowering Plants","Delaware"
"Swamp pink","Threatened","Flowering Plants","South Carolina"
"Tan riffleshell","Endangered","Clams","West Virginia"
"Tan riffleshell","Endangered","Clams","Kentucky"
"Tan riffleshell","Endangered","Clams","Virginia"
"Tan riffleshell","Endangered","Clams","Tennessee"
"Tar River spinymussel","Endangered","Clams","North Carolina"
"Taylor's (=whulge) Checkerspot","Endangered","Insects","Washington"
"Taylor's (=whulge) Checkerspot","Endangered","Insects","Oregon"
"Telephus spurge","Threatened","Flowering Plants","Florida"
"Texas blind salamander","Endangered","Amphibians","Texas"
"Texas wild-rice","Endangered","Flowering Plants","Texas"
"Thread-leaved brodiaea","Threatened","Flowering Plants","California"
"Three Forks Springsnail","Endangered","Snails","Arizona"
"Tobusch fishhook cactus","Threatened","Flowering Plants","Texas"
"Topeka shiner","Endangered","Fishes","Iowa"
"Topeka shiner","Endangered","Fishes","South Dakota"
"Topeka shiner","Endangered","Fishes","Nebraska"
"Topeka shiner","Endangered","Fishes","Missouri"
"Topeka shiner","Endangered","Fishes","Kansas"
"Topeka shiner","Endangered","Fishes","Minnesota"
"Unarmored threespine stickleback","Endangered","Fishes","California"
"Uvillo","Endangered","Flowering Plants","Puerto Rico"
"Vahl's boxwood","Endangered","Flowering Plants","Puerto Rico"
"Vahl's boxwood","Endangered","Flowering Plants","Virgin Islands"
"Valley elderberry longhorn beetle","Threatened","Insects","California"
"Virginia big-eared bat","Endangered","Mammals","North Carolina"
"Virginia big-eared bat","Endangered","Mammals","Virginia"
"Virginia big-eared bat","Endangered","Mammals","West Virginia"
"Virginia big-eared bat","Endangered","Mammals","Tennessee"
"Virginia big-eared bat","Endangered","Mammals","Kentucky"
"Virginia round-leaf birch","Threatened","Flowering Plants","Virginia"
"Virgin Islands tree boa","Endangered","Reptiles","Puerto Rico"
"Virgin Islands tree boa","Endangered","Reptiles","Virgin Islands"
"Western burrowing owl","Species of Concern","Birds","Colorado"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Kansas"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Missouri"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Minnesota"
